Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
SF,424,1833,4.3,13,10,1,48T,115,27.1,6
CHI,457,2287,5.0,15,13,4,64T,125,27.4,9
CIN,479,2500,5.2,18,19,3,50,130,27.1,4
BUF,450,2315,5.1,24,13,7,81T,130,28.9,5
DEN,400,1548,3.9,11,6,2,68,85,21.2,2
CLE,475,1979,4.2,14,14,4,65T,102,21.5,10
TB,396,1684,4.2,16,11,3,78T,86,21.7,9
ARI,489,2158,4.4,19,15,3,50,134,27.4,6
LAC,416,1791,4.3,16,7,3,52T,104,25.0,4
KC,448,1797,4.0,14,5,2,71T,103,23.0,5
IND,448,1732,3.9,16,7,1,41,123,27.5,5
WAS,504,2411,4.8,18,10,3,48,130,25.8,6
DAL,452,2133,4.7,24,14,2,72T,136,30.1,4
MIA,469,2251,4.8,18,16,6,56,119,25.4,7
PHI,494,2115,4.3,20,8,1,49,133,26.9,11
ATL,466,2146,4.6,12,15,2,83T,120,25.8,5
NYG,465,2470,5.3,21,19,6,69T,131,28.2,4
JAX,369,1455,3.9,13,5,0,38T,85,23.0,4
NYJ,539,2371,4.4,20,15,3,66,133,24.7,9
DET,446,1947,4.4,16,10,3,65T,99,22.2,5
GB,476,2001,4.2,15,8,0,38,120,25.2,4
CAR,479,2096,4.4,20,13,2,71,121,25.3,5
NE,411,1729,4.2,11,9,1,59T,104,25.3,5
LV,511,1986,3.9,22,9,2,60T,126,24.7,7
LAR,436,1884,4.3,8,7,2,93T,106,24.3,2
BAL,434,1813,4.2,18,12,1,72,109,25.1,8
NO,517,2050,4.0,12,11,1,52,122,23.6,8
SEA,418,1563,3.7,9,5,1,55,83,19.9,3
PIT,451,1922,4.3,10,8,2,55,122,27.0,9
HOU,400,1593,4.0,13,8,2,51T,80,20.0,4
TEN,453,1948,4.3,21,8,5,80T,107,23.6,3
MIN,529,2110,4.0,13,6,0,32,144,27.2,10
