Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
SF,481,1817,3.8,15,4,1,41,119,24.7,2
CHI,505,2456,4.9,19,11,0,39,142,28.1,10
CIN,381,1591,4.2,11,8,0,37T,102,26.8,4
BUF,547,2714,5.0,30,16,6,64,146,26.7,12
DEN,456,2018,4.4,18,11,3,50T,111,24.3,4
CLE,421,1649,3.9,10,6,1,46T,100,23.8,1
TB,472,1947,4.1,13,9,1,43T,115,24.4,3
ARI,366,1583,4.3,9,8,3,71,91,24.9,5
LAC,466,2067,4.4,10,14,3,59,117,25.1,5
KC,430,1812,4.2,15,3,0,35,122,28.4,5
IND,442,2007,4.5,27,10,4,83T,122,27.6,5
WAS,484,2290,4.7,20,11,5,72,123,25.4,11
DAL,465,2136,4.6,18,13,3,66T,120,25.8,8
MIA,432,2044,4.7,14,16,4,59T,104,24.1,11
PHI,478,1988,4.2,17,9,3,65T,114,23.8,4
ATL,477,2138,4.5,17,9,2,93,113,23.7,6
NYG,511,2195,4.3,22,10,0,31T,141,27.6,5
JAX,489,1956,4.0,22,9,3,71T,124,25.4,4
NYJ,456,2096,4.6,11,13,3,59,115,25.2,6
DET,442,2041,4.6,21,14,7,78T,105,23.8,7
GB,492,2037,4.1,18,6,1,40,124,25.2,9
CAR,461,1977,4.3,9,9,2,53,109,23.6,6
NE,494,2191,4.4,22,16,5,69T,128,25.9,7
LV,369,1317,3.6,5,5,2,64T,67,18.2,3
LAR,465,2152,4.6,17,12,2,48,126,27.1,5
BAL,507,2662,5.2,23,25,6,71,146,28.8,8
NO,435,1603,3.7,9,5,0,34,101,23.2,6
SEA,507,2096,4.1,19,18,1,55,125,24.6,7
PIT,407,1756,4.3,16,11,3,55,109,26.8,3
HOU,475,1852,3.9,9,8,1,50T,99,20.8,4
TEN,378,1589,4.2,9,10,2,65T,85,22.5,4
MIN,410,1841,4.5,15,7,1,65T,102,24.9,8
